day,operate,price,investment,total_balance
0,buy,180.57782210901232,0.0,9819.422177890987
1,buy,181.29820226260733,0.0,9638.12397562838
3,buy,181.13002915721194,0.0,9456.993946471168
6,sell,176.97583380235506,-1.9947013783801155,9633.969780273523
9,sell,170.45212610421748,-5.9824510243513025,9804.42190637774
10,buy,170.2797653967773,0.0,9634.142140980963
11,buy,169.42008259475176,0.0,9464.72205838621
12,buy,169.51351375506235,0.0,9295.208544631148
13,buy,174.06788212197262,0.0,9121.140662509177
14,buy,170.43788732934823,0.0,8950.702775179829
15,buy,171.72348994421037,0.0,8778.979285235619
17,buy,174.70004459575574,0.0,8604.279240639862
18,buy,171.32713594434597,0.0,8432.952104695516
19,buy,179.3115048798765,0.0,8253.640599815639
21,buy,171.35795354913546,0.0,8082.282646266503
22,sell,172.01312184006957,-5.033349444905868,8254.295768106573
24,sell,171.14283255428091,0.5068524469085016,8425.438600660853
25,buy,169.97310302206878,0.0,8255.465497638785
27,buy,167.03782126202356,0.0,8088.427676376761
28,buy,169.0654342361284,0.0,7919.362242140633
29,buy,167.04546012984417,0.0,7752.316782010788
30,buy,168.35381514013844,0.0,7583.96296687065
31,buy,165.49534776833298,0.0,7418.467619102317
32,buy,176.29058867680186,0.0,7242.177030425515
33,buy,167.6704836655205,0.0,7074.506546759994
34,buy,172.20022283929518,0.0,6902.3063239206995
36,buy,169.9236919053742,0.0,6732.382632015326
37,buy,168.76732597633463,0.0,6563.615306038992
39,sell,167.18357279578368,-1.3200972191223381,6730.798878834776
40,buy,164.39048644593996,0.0,6566.408392388836
41,sell,166.67865906403017,-1.6723473121608379,6733.087051452866
43,buy,167.82565204926854,0.0,6565.261399403597
44,buy,170.46763843630384,0.0,6394.793760967294
46,buy,169.74400699585678,0.0,6225.049753971437
47,buy,170.85761645386287,0.0,6054.192137517574
48,buy,174.18337161833563,0.0,5880.008765899239
49,buy,170.8324866894656,0.0,5709.176279209773
50,buy,183.66988823368223,0.0,5525.506390976091
51,buy,181.56348005654428,0.0,5343.942910919547
52,buy,183.6640254779049,0.0,5160.278885441642
55,buy,182.62730968469833,0.0,4977.651575756944
56,buy,186.38440377812316,0.0,4791.267171978821
58,buy,188.931203916667,0.0,4602.335968062154
59,buy,192.8478033051033,0.0,4409.488164757051
60,sell,191.08098018841332,9.773829530780015,4600.569144945464
62,buy,185.93850594370312,0.0,4414.630639001762
63,sell,194.19444100445546,13.93854033710292,4608.825080006217
65,buy,190.0534037278756,0.0,4418.771676278341
66,buy,190.02653594583023,0.0,4228.745140332511
67,sell,191.2690139301444,11.381974587334557,4420.014154262655
68,buy,190.69414087631682,0.0,4229.320013386338
70,sell,192.81057192041536,10.366641500616767,4422.130585306753
71,buy,191.93645018084933,0.0,4230.194135125904
72,sell,197.02170960979268,14.997375356693848,4427.215844735697
74,buy,202.57137508167943,0.0,4224.6444696540175
75,buy,193.73276383263658,0.0,4030.911705821381
76,sell,207.58493920167578,15.7677748233389,4238.496645023057
79,sell,209.39412905314657,22.1969127876545,4447.890774076203
80,sell,212.75058604548175,25.167207200929237,4660.6413601216855
82,sell,208.57987421018782,24.869848417742116,4869.221234331873
83,sell,207.43502937800724,22.695115246496357,5076.6562637098805
85,sell,208.71062304591413,24.9424096193238,5285.366886755794
86,buy,209.34726369829207,0.0,5076.019623057502
87,sell,217.60210428460266,29.252850078550185,5293.621727342104
89,sell,213.94965242214792,29.278348489676713,5507.571379764252
90,buy,220.6946412040669,0.0,5286.876738560185
91,sell,221.4584697655686,25.62126624443588,5508.335208325753
92,buy,224.04999914561952,0.0,5284.285209180133
93,buy,229.87250038991078,0.0,5054.4127087902225
94,sell,225.11019448610415,34.25749694571644,5279.522903276326
95,buy,234.56097594829612,0.0,5044.9619273280305
98,sell,228.89857473151127,32.92582957057465,5273.860502059541
100,sell,230.1449781030223,35.4401940791068,5504.005480162564
102,sell,222.7094351819107,31.962412684751595,5726.714915344474
103,sell,218.98316296248305,33.20914591641893,5945.6980783069575
104,sell,221.25316976097108,31.835131911787734,6166.951248067929
106,sell,215.51775111572178,26.42736949526708,6382.46899918365
107,buy,214.27950903125347,0.0,6168.1894901523965
108,buy,220.25826660431045,0.0,5947.931223548086
110,buy,219.11156067749596,0.0,5728.81966287059
111,buy,211.53854222893276,0.0,5517.281120641657
112,sell,218.77316513398534,28.88417624035781,5736.054285775643
115,sell,209.7082164612377,22.738582460481503,5945.76250223688
116,buy,211.71334247614956,0.0,5734.049159760731
119,sell,220.02395877591653,26.31743014943192,5954.073118536648
120,buy,220.04415284088364,0.0,5734.028965695764
121,sell,222.20548850385782,30.07215009857966,5956.234454199622
123,buy,226.1395286545755,0.0,5730.094925545046
124,buy,223.28098732055537,0.0,5506.813938224491
125,sell,235.17606651895153,28.042799383499524,5741.990004743442
127,sell,226.8136603207564,24.92251208784932,5968.803665064199
128,sell,224.34926728637012,22.15199285902603,6193.152932350569
129,sell,228.94410795974687,25.36137577398111,6422.0970403103165
132,sell,226.6083997445787,21.581202692441597,6648.705440054895
133,buy,221.19552999361113,0.0,6427.509910061284
134,sell,217.56149408139927,15.153817670775242,6645.071404142684
136,sell,218.11746548585063,13.103422360880284,6863.188869628534
137,buy,221.42599299622546,0.0,6641.762876632309
140,buy,216.55555355677183,0.0,6425.207323075537
141,buy,220.98774843804026,0.0,6204.219574637496
144,sell,217.5785596792964,17.01640742728835,6421.798134316793
145,sell,227.67723586573229,19.796452681125174,6649.475370182526
146,buy,229.04066277698126,0.0,6420.434707405544
148,buy,228.1822021611503,0.0,6192.252505244393
149,sell,225.17838221490678,18.49838818253103,6417.4308874593
150,sell,229.7258810512397,20.46824301761775,6647.156768510539
152,buy,232.16749025904,0.0,6414.989278251499
153,sell,223.8728945398892,16.63907211420666,6638.862172791388
154,sell,229.3554242933203,13.222030605677231,6868.217597084708
157,sell,219.07993762629468,13.08357620683883,7087.297534711003
158,buy,224.32363887827094,0.0,6862.9738958327325
160,buy,229.41284815505472,0.0,6633.561047677677
161,buy,227.99024213580628,0.0,6405.570805541871
162,buy,226.86577967444703,0.0,6178.7050258674235
164,buy,229.3804408674714,0.0,5949.324584999952
165,sell,235.57684476994177,12.529220878402004,6184.901429769894
167,sell,232.26820983638387,5.244154805560227,6417.169639606278
168,buy,234.14982751390232,0.0,6183.019812092376
169,sell,233.75078936939707,4.329743477246163,6416.770601461773
171,sell,228.5641808940136,-0.5691500695724877,6645.334782355787
173,sell,230.65958283247238,-1.6632745920547816,6875.9943651882595
174,sell,225.25546073584698,5.122259125109639,7101.2498259241065
175,buy,222.69983254463205,0.0,6878.5499933794745
176,sell,222.61244403373237,1.0688259131954199,7101.162437413207
177,buy,218.71523410569975,0.0,6882.447203307507
178,sell,223.80793004568488,2.143369046191669,7106.255133353192
179,buy,219.41203099684887,0.0,6886.8431023563435
180,buy,224.12896533147446,0.0,6662.714137024869
181,buy,227.9376481958914,0.0,6434.776488828978
183,buy,225.44402814301665,0.0,6209.3324606859605
185,sell,229.0350488467979,8.2710727007516,6438.367509532758
188,sell,228.71329561574953,8.02970324910679,6667.080805148507
189,sell,229.63296543703942,4.357676617333047,6896.713770585547
190,sell,228.50666374239512,1.0467586546690675,7125.220434327942
192,buy,229.840858929638,0.0,6895.379575398304
193,sell,235.94059110871794,5.669808226881268,7131.320166507022
194,sell,239.3676348710705,8.21540330312472,7370.687801378092
196,buy,238.48954949426133,0.0,7132.198251883831
197,sell,241.5678800225435,9.096442000222348,7373.7661319063745
198,sell,247.48032834565547,14.280296340115079,7621.24646025203
201,sell,244.05317270750265,10.437422179505756,7865.2996329595335
202,sell,249.7555800546358,9.044209454556468,8115.05521301417
205,sell,248.89379430568022,9.076778095910687,8363.94900731985
206,sell,244.3262907325443,5.237081410467144,8608.275298052395
207,sell,253.9366764324723,13.20103298175849,8862.211974484868
210,sell,254.7018282166528,11.02334950503987,9116.913802701521
211,sell,254.68187178832193,11.707356158083432,9371.595674489843
213,sell,254.24788235938308,12.069736883292599,9625.843556849226
214,sell,253.23429780952225,10.399254989588597,9879.077854658748
215,sell,243.9817278496148,4.198978252558704,10123.059582508362
216,sell,247.58975000751465,11.176441930145742,10370.649332515877
218,sell,239.09677757745698,9.318758044036073,10609.746110093334
219,sell,242.78494994491655,10.652523857455817,10852.53106003825
221,sell,239.46318250169102,6.841693641666572,11091.994242539942
222,sell,233.01846524729967,2.2290381126692074,11325.012707787242
224,sell,226.63472254322926,0.5281552188453876,11551.647430330471
225,buy,236.8197597400203,0.0,11314.827670590452
227,sell,230.38232408545082,0.23558263675763172,11545.209994675903
228,buy,221.71751885998043,0.0,11323.492475815921
230,sell,227.91426172292654,-4.4342772225284675,11551.406737538848
233,sell,234.92398531025412,-0.8005136192382495,11786.330722849101
234,buy,237.90030845387497,0.0,11548.430414395227
236,sell,237.60760806281868,7.166817166519531,11786.038022458046
238,sell,234.33373667877112,-1.4991875371171925,12020.371759136817
